754 718 0:50 / / rw,relatime - overlay overlay rw,lowerdir=/var/lib/docker/overlay2/l/G2QAQZ7ZQPIRGECYHI3JRN7JJH:/var/lib/docker/overlay2/l/ZWR6NHLPZLKRJ3QOMLZZ73Y34H:/var/lib/docker/overlay2/l/FNTQCTEBC344SACZLKM63UQSCJ:/var/lib/docker/overlay2/l/K7W3N3UHVJK5GGYNSSDQDYDXUE:/var/lib/docker/overlay2/l/LIXHEJLPTK6OO7W22ZTXJNGDVR:/var/lib/docker/overlay2/l/5W76FJTLEOQCL53STC3X4GLXJQ:/var/lib/docker/overlay2/l/34NELD6IDOEFG366H7NYR4NB2N:/var/lib/docker/overlay2/l/VKERE4GAFQKCP6FKHXC4T6EASR:/var/lib/docker/overlay2/l/ZWDHFCCAO3TCZBS5X7JUDBQ3N6:/var/lib/docker/overlay2/l/LCRQN2UYTBZNWTHNBHG4ORGIM6:/var/lib/docker/overlay2/l/CHYEPCAETEFWPQTYEO42K4JKH6:/var/lib/docker/overlay2/l/2G4TRMUAXLPNGRPM3BI55FU7C7:/var/lib/docker/overlay2/l/2AAC2Z6UQJLPFOIUBGIR2DAXGI:/var/lib/docker/overlay2/l/UFILKLJIDHBZC2YPROFPNBNRTU:/var/lib/docker/overlay2/l/IWDS4UEE2SRLMUURQNZTLGLCSQ:/var/lib/docker/overlay2/l/APNEOYR33TWTBO2L7XPQGJCSSB:/var/lib/docker/overlay2/l/TIFVTAKNTA3E4HR6YDTTKKPMI5:/var/lib/docker/overlay2/l/UDOUJQCLPMQFSIW6TRG5EPEVTB:/var/lib/docker/overlay2/l/OA3NIKMNFRLXG3L3JHQGIFVJ2Z:/var/lib/docker/overlay2/l/HNPWNZHL6VKNZG5TSKPHJIFJZH:/var/lib/docker/overlay2/l/RJWCGQVIH6XXPKCH3DO6BRIH6H:/var/lib/docker/overlay2/l/MS4OLNCFUBDRJMZTV3J52LZXKC:/var/lib/docker/overlay2/l/TJGNQKMSV6KINK7KSLSKG3JARB:/var/lib/docker/overlay2/l/LQWP647E4Q3PDXQZYJN6RJ55MD,upperdir=/var/lib/docker/overlay2/5ad202f98f748fd7873f9e1cbb47d225316aa50f9bf41bced14bc75e3f065525/diff,workdir=/var/lib/docker/overlay2/5ad202f98f748fd7873f9e1cbb47d225316aa50f9bf41bced14bc75e3f065525/work
756 754 0:64 / /proc rw,nosuid,nodev,noexec,relatime - proc proc rw
757 754 0:65 / /dev rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
758 757 0:66 / /dev/pts rw,nosuid,noexec,relatime - devpts devpts rw,gid=5,mode=620,ptmxmode=666
759 754 0:67 / /sys ro,nosuid,nodev,noexec,relatime - sysfs sysfs ro
764 759 0:27 / /sys/fs/cgroup ro,nosuid,nodev,noexec,relatime - cgroup2 cgroup rw,nsdelegate,memory_recursiveprot
765 757 0:62 / /dev/mqueue rw,nosuid,nodev,noexec,relatime - mqueue mqueue rw
790 757 0:68 / /dev/shm rw,nosuid,nodev,noexec,relatime - tmpfs shm rw,size=65536k,inode64
791 754 259:5 /home/ldeb/docker-research/containers/mc/mc-data /data rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
792 754 259:5 /var/lib/docker/containers/216bb1cf50c563702165a636d5c605408bb12c14cac187ac0e253b361b39c204/resolv.conf /etc/resolv.conf rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
808 754 259:5 /var/lib/docker/containers/216bb1cf50c563702165a636d5c605408bb12c14cac187ac0e253b361b39c204/hostname /etc/hostname rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
809 754 259:5 /var/lib/docker/containers/216bb1cf50c563702165a636d5c605408bb12c14cac187ac0e253b361b39c204/hosts /etc/hosts rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
719 756 0:64 /bus /proc/bus ro,nosuid,nodev,noexec,relatime - proc proc rw
720 756 0:64 /fs /proc/fs ro,nosuid,nodev,noexec,relatime - proc proc rw
721 756 0:64 /irq /proc/irq ro,nosuid,nodev,noexec,relatime - proc proc rw
722 756 0:64 /sys /proc/sys ro,nosuid,nodev,noexec,relatime - proc proc rw
723 756 0:64 /sysrq-trigger /proc/sysrq-trigger ro,nosuid,nodev,noexec,relatime - proc proc rw
724 756 0:69 / /proc/asound ro,relatime - tmpfs tmpfs ro,inode64
725 756 0:70 / /proc/acpi ro,relatime - tmpfs tmpfs ro,inode64
726 756 0:65 /null /proc/kcore rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
727 756 0:65 /null /proc/keys rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
728 756 0:65 /null /proc/timer_list rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
729 759 0:71 / /sys/firmware ro,relatime - tmpfs tmpfs ro,inode64
730 759 0:72 / /sys/devices/virtual/powercap ro,relatime - tmpfs tmpfs ro,inode64
