1246 1140 0:61 / / rw,relatime - overlay overlay rw,lowerdir=/var/lib/docker/overlay2/l/X7BC3YXSCX63ZPDGXB2UYTO63P:/var/lib/docker/overlay2/l/XWAZFPKT6BXD5RCGM2PSJVHRJJ:/var/lib/docker/overlay2/l/BZMOHSOQ74YJWNTMIEPY6AQHSU:/var/lib/docker/overlay2/l/MYSATZ4UMXFJ76SCWOLUMLY2XA:/var/lib/docker/overlay2/l/TE7LB2YPSBMFOGDGKUUZFN2ETK:/var/lib/docker/overlay2/l/XD2TVXPIAGP7JZDEAKOWXBOZB5:/var/lib/docker/overlay2/l/PMTBG7RJAWTJUPPK55W2RP4XWK:/var/lib/docker/overlay2/l/3NGQNYXZH2WGPATS65Y566CRJY,upperdir=/var/lib/docker/overlay2/b01a8285cfde5e05ad1050f378f2e1732329b224e73f3889f946ef5f034dd789/diff,workdir=/var/lib/docker/overlay2/b01a8285cfde5e05ad1050f378f2e1732329b224e73f3889f946ef5f034dd789/work
1271 1246 0:99 / /proc rw,nosuid,nodev,noexec,relatime - proc proc rw
1276 1246 0:100 / /dev rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
1277 1276 0:101 / /dev/pts rw,nosuid,noexec,relatime - devpts devpts rw,gid=5,mode=620,ptmxmode=666
1278 1246 0:102 / /sys ro,nosuid,nodev,noexec,relatime - sysfs sysfs ro
1279 1278 0:27 / /sys/fs/cgroup ro,nosuid,nodev,noexec,relatime - cgroup2 cgroup rw,nsdelegate,memory_recursiveprot
1280 1276 0:75 / /dev/mqueue rw,nosuid,nodev,noexec,relatime - mqueue mqueue rw
1281 1276 0:103 / /dev/shm rw,nosuid,nodev,noexec,relatime - tmpfs shm rw,size=65536k,inode64
1282 1246 259:5 /var/lib/docker/containers/419cec8b93ed479f7f95075e000018ce093e85306c47420b0ad2fbf212b631fe/resolv.conf /etc/resolv.conf rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
1283 1246 259:5 /var/lib/docker/containers/419cec8b93ed479f7f95075e000018ce093e85306c47420b0ad2fbf212b631fe/hostname /etc/hostname rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
1284 1246 259:5 /var/lib/docker/containers/419cec8b93ed479f7f95075e000018ce093e85306c47420b0ad2fbf212b631fe/hosts /etc/hosts rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
1285 1246 259:5 /home/ldeb/docker-research/containers/website/nginx/default.conf /etc/nginx/nginx.conf ro,noatime - ext4 /dev/nvme0n1p5 rw,discard
1208 1271 0:99 /bus /proc/bus ro,nosuid,nodev,noexec,relatime - proc proc rw
1209 1271 0:99 /fs /proc/fs ro,nosuid,nodev,noexec,relatime - proc proc rw
1210 1271 0:99 /irq /proc/irq ro,nosuid,nodev,noexec,relatime - proc proc rw
1211 1271 0:99 /sys /proc/sys ro,nosuid,nodev,noexec,relatime - proc proc rw
1212 1271 0:99 /sysrq-trigger /proc/sysrq-trigger ro,nosuid,nodev,noexec,relatime - proc proc rw
1213 1271 0:104 / /proc/asound ro,relatime - tmpfs tmpfs ro,inode64
1214 1271 0:105 / /proc/acpi ro,relatime - tmpfs tmpfs ro,inode64
1215 1271 0:100 /null /proc/kcore rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
1216 1271 0:100 /null /proc/keys rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
1217 1271 0:100 /null /proc/timer_list rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
1218 1278 0:106 / /sys/firmware ro,relatime - tmpfs tmpfs ro,inode64
1219 1278 0:107 / /sys/devices/virtual/powercap ro,relatime - tmpfs tmpfs ro,inode64
