1124 1000 0:56 / / rw,relatime - overlay overlay rw,lowerdir=/var/lib/docker/overlay2/l/HN4P3WXUF3HZ4UHOISFYEJQX6C:/var/lib/docker/overlay2/l/TMDRU76ZJEZOITRCKOLIAQVZMO:/var/lib/docker/overlay2/l/LR3CUUNTNBYN55G4PASIYF7YC6:/var/lib/docker/overlay2/l/D6M3H74IVEKU4VSKCA4LMGWP3F:/var/lib/docker/overlay2/l/QISHVB4HZ2LDC3DNF6VJL7EVZW:/var/lib/docker/overlay2/l/PH5HKIMN6PTSGSYSXVWHUCFOQQ:/var/lib/docker/overlay2/l/ESYW676JFRPKH4NVEXR3AOME5O:/var/lib/docker/overlay2/l/MRRKMVIBYH62FRY4BB5LNAIQN3:/var/lib/docker/overlay2/l/3JLUYLJDWVS5CWONK6RKJXIBG5:/var/lib/docker/overlay2/l/NN6XN77UQFOHT2DIH5NQYGR2RT:/var/lib/docker/overlay2/l/ZHYMMH47QC3K7ND5WHHWI3XEFI:/var/lib/docker/overlay2/l/6RADVR7OUEO3FBOE4W7U5YAIIS:/var/lib/docker/overlay2/l/2WNQ3W6N3CSKIDY6A2F32GS3MO,upperdir=/var/lib/docker/overlay2/9453ff3399d345d6ac45172a5ae3da149c20ac4307ec966ff31b490cc128e45a/diff,workdir=/var/lib/docker/overlay2/9453ff3399d345d6ac45172a5ae3da149c20ac4307ec966ff31b490cc128e45a/work
1142 1124 0:90 / /proc rw,nosuid,nodev,noexec,relatime - proc proc rw
1158 1124 0:91 / /dev rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
1159 1158 0:92 / /dev/pts rw,nosuid,noexec,relatime - devpts devpts rw,gid=5,mode=620,ptmxmode=666
1160 1124 0:93 / /sys ro,nosuid,nodev,noexec,relatime - sysfs sysfs ro
1169 1160 0:27 / /sys/fs/cgroup ro,nosuid,nodev,noexec,relatime - cgroup2 cgroup rw,nsdelegate,memory_recursiveprot
1170 1158 0:69 / /dev/mqueue rw,nosuid,nodev,noexec,relatime - mqueue mqueue rw
1171 1158 0:94 / /dev/shm rw,nosuid,nodev,noexec,relatime - tmpfs shm rw,size=65536k,inode64
1172 1124 259:5 /home/ldeb/docker-research/containers/website/frontend /app rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
1205 1124 259:5 /var/lib/docker/containers/4c2566ca268e29eb65e203cb3502d7cfc7400add07bec3ace6317a15a6dc9869/resolv.conf /etc/resolv.conf rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
1206 1124 259:5 /var/lib/docker/containers/4c2566ca268e29eb65e203cb3502d7cfc7400add07bec3ace6317a15a6dc9869/hostname /etc/hostname rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
1207 1124 259:5 /var/lib/docker/containers/4c2566ca268e29eb65e203cb3502d7cfc7400add07bec3ace6317a15a6dc9869/hosts /etc/hosts rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
1001 1142 0:90 /bus /proc/bus ro,nosuid,nodev,noexec,relatime - proc proc rw
1002 1142 0:90 /fs /proc/fs ro,nosuid,nodev,noexec,relatime - proc proc rw
1003 1142 0:90 /irq /proc/irq ro,nosuid,nodev,noexec,relatime - proc proc rw
1004 1142 0:90 /sys /proc/sys ro,nosuid,nodev,noexec,relatime - proc proc rw
1005 1142 0:90 /sysrq-trigger /proc/sysrq-trigger ro,nosuid,nodev,noexec,relatime - proc proc rw
1006 1142 0:95 / /proc/asound ro,relatime - tmpfs tmpfs ro,inode64
1007 1142 0:96 / /proc/acpi ro,relatime - tmpfs tmpfs ro,inode64
1008 1142 0:91 /null /proc/kcore rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
1009 1142 0:91 /null /proc/keys rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
1010 1142 0:91 /null /proc/timer_list rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
1011 1160 0:97 / /sys/firmware ro,relatime - tmpfs tmpfs ro,inode64
1012 1160 0:98 / /sys/devices/virtual/powercap ro,relatime - tmpfs tmpfs ro,inode64
