738 705 0:50 / / rw,relatime - overlay overlay rw,lowerdir=/var/lib/docker/overlay2/l/H7REDWYL7DXNLS7S5S5AOQN6YP:/var/lib/docker/overlay2/l/YTCDGVN4JCO2O6MPLYICBUKZ2L:/var/lib/docker/overlay2/l/YFTNEEWUMSPYDBUS5PM6AVK7VI:/var/lib/docker/overlay2/l/DHDYJ4WE3AS7ETJN6GWC3AADYU:/var/lib/docker/overlay2/l/73FQ5ZQRGPI2I2VDXUF2I5BO6W:/var/lib/docker/overlay2/l/ZRJW7MTJCIQVRHSFR7IAXSXUGU:/var/lib/docker/overlay2/l/7QFZN7WG3NDEDHABCLNZFQFHLZ:/var/lib/docker/overlay2/l/UIPU5B7LYN7DGE4MC7LNCUL3DF:/var/lib/docker/overlay2/l/327ZVDFYV5GPYC6EKYN2MYZQMZ:/var/lib/docker/overlay2/l/LS2RMZCWIMDFKWLKAFOY4LZAT3:/var/lib/docker/overlay2/l/KOS5LMODSOZ6DHVGWROYEOL3H2:/var/lib/docker/overlay2/l/MH7SUXCXZYM6E4BBDJDIQ4VWDZ,upperdir=/var/lib/docker/overlay2/523bba16fefa453978ffc61da5b2e7dbb9ae3587171f6166ed8498e17e836283/diff,workdir=/var/lib/docker/overlay2/523bba16fefa453978ffc61da5b2e7dbb9ae3587171f6166ed8498e17e836283/work
740 738 0:63 / /proc rw,nosuid,nodev,noexec,relatime - proc proc rw
741 738 0:64 / /dev rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
742 741 0:65 / /dev/pts rw,nosuid,noexec,relatime - devpts devpts rw,gid=5,mode=620,ptmxmode=666
743 738 0:66 / /sys ro,nosuid,nodev,noexec,relatime - sysfs sysfs ro
744 743 0:27 / /sys/fs/cgroup ro,nosuid,nodev,noexec,relatime - cgroup2 cgroup rw,nsdelegate,memory_recursiveprot
745 741 0:57 / /dev/mqueue rw,nosuid,nodev,noexec,relatime - mqueue mqueue rw
746 741 0:67 / /dev/shm rw,nosuid,nodev,noexec,relatime - tmpfs shm rw,size=65536k,inode64
747 738 259:5 /home/ldeb/docker-research/containers/pihole/etc-pihole /etc/pihole rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
748 738 259:5 /home/ldeb/docker-research/containers/pihole/etc-dnsmasq.d /etc/dnsmasq.d rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
749 738 259:5 /var/lib/docker/containers/2395b9602366dd0bc65622a110410839c06c58e6f5b1cd78686b9559680dc6d9/resolv.conf /etc/resolv.conf rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
750 738 259:5 /var/lib/docker/containers/2395b9602366dd0bc65622a110410839c06c58e6f5b1cd78686b9559680dc6d9/hostname /etc/hostname rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
751 738 259:5 /var/lib/docker/containers/2395b9602366dd0bc65622a110410839c06c58e6f5b1cd78686b9559680dc6d9/hosts /etc/hosts rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
706 740 0:63 /bus /proc/bus ro,nosuid,nodev,noexec,relatime - proc proc rw
707 740 0:63 /fs /proc/fs ro,nosuid,nodev,noexec,relatime - proc proc rw
708 740 0:63 /irq /proc/irq ro,nosuid,nodev,noexec,relatime - proc proc rw
709 740 0:63 /sys /proc/sys ro,nosuid,nodev,noexec,relatime - proc proc rw
710 740 0:63 /sysrq-trigger /proc/sysrq-trigger ro,nosuid,nodev,noexec,relatime - proc proc rw
711 740 0:68 / /proc/asound ro,relatime - tmpfs tmpfs ro,inode64
712 740 0:69 / /proc/acpi ro,relatime - tmpfs tmpfs ro,inode64
713 740 0:64 /null /proc/kcore rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
714 740 0:64 /null /proc/keys rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
715 740 0:64 /null /proc/timer_list rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
716 743 0:70 / /sys/firmware ro,relatime - tmpfs tmpfs ro,inode64
717 743 0:71 / /sys/devices/virtual/powercap ro,relatime - tmpfs tmpfs ro,inode64
