814 758 0:51 / / rw,relatime - overlay overlay rw,lowerdir=/var/lib/docker/overlay2/l/HN7FE3PD7YTDRKAZ5EAOAI33YH:/var/lib/docker/overlay2/l/NTNOENOLSY3JFARJVINQKGSTIF:/var/lib/docker/overlay2/l/77VBBJG5PD3HFL3G26QKLO7SEG:/var/lib/docker/overlay2/l/26XHQ4YN35QIQ6JP5JG6RPJP3I:/var/lib/docker/overlay2/l/JBVR7DWZZ5G5QSGGRXEOYMWL2L,upperdir=/var/lib/docker/overlay2/29f17d4e6db94f4b7ce1d3838ab3f0961ef95c4a08dbac76a0076c599ebcf9f8/diff,workdir=/var/lib/docker/overlay2/29f17d4e6db94f4b7ce1d3838ab3f0961ef95c4a08dbac76a0076c599ebcf9f8/work
830 814 0:71 / /proc rw,nosuid,nodev,noexec,relatime - proc proc rw
832 814 0:72 / /dev rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
833 832 0:73 / /dev/pts rw,nosuid,noexec,relatime - devpts devpts rw,gid=5,mode=620,ptmxmode=666
834 814 0:74 / /sys ro,nosuid,nodev,noexec,relatime - sysfs sysfs ro
835 834 0:27 / /sys/fs/cgroup ro,nosuid,nodev,noexec,relatime - cgroup2 cgroup rw,nsdelegate,memory_recursiveprot
836 832 0:67 / /dev/mqueue rw,nosuid,nodev,noexec,relatime - mqueue mqueue rw
837 832 0:76 / /dev/shm rw,nosuid,nodev,noexec,relatime - tmpfs shm rw,size=65536k,inode64
838 814 259:5 /var/lib/docker/containers/18677278850e193606d5f23cee1d0bab524c364e6da34819cb220dca45eb1fe5/resolv.conf /etc/resolv.conf rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
839 814 259:5 /var/lib/docker/containers/18677278850e193606d5f23cee1d0bab524c364e6da34819cb220dca45eb1fe5/hostname /etc/hostname rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
840 814 259:5 /var/lib/docker/containers/18677278850e193606d5f23cee1d0bab524c364e6da34819cb220dca45eb1fe5/hosts /etc/hosts rw,noatime - ext4 /dev/nvme0n1p5 rw,discard
841 814 0:23 /docker.sock /run/docker.sock ro,nosuid,nodev,noexec,relatime - tmpfs tmpfs rw,size=748084k,mode=755,inode64
759 830 0:71 /bus /proc/bus ro,nosuid,nodev,noexec,relatime - proc proc rw
760 830 0:71 /fs /proc/fs ro,nosuid,nodev,noexec,relatime - proc proc rw
761 830 0:71 /irq /proc/irq ro,nosuid,nodev,noexec,relatime - proc proc rw
762 830 0:71 /sys /proc/sys ro,nosuid,nodev,noexec,relatime - proc proc rw
763 830 0:71 /sysrq-trigger /proc/sysrq-trigger ro,nosuid,nodev,noexec,relatime - proc proc rw
764 830 0:81 / /proc/asound ro,relatime - tmpfs tmpfs ro,inode64
765 830 0:82 / /proc/acpi ro,relatime - tmpfs tmpfs ro,inode64
766 830 0:72 /null /proc/kcore rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
767 830 0:72 /null /proc/keys rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
768 830 0:72 /null /proc/timer_list rw,nosuid - tmpfs tmpfs rw,size=65536k,mode=755,inode64
769 834 0:83 / /sys/firmware ro,relatime - tmpfs tmpfs ro,inode64
770 834 0:84 / /sys/devices/virtual/powercap ro,relatime - tmpfs tmpfs ro,inode64
